agegroup,popage,propage
1,1415241,0.080681239606933
2,1465713,0.083558589489703
3,1380387,0.078694253697636
4,1314648,0.074946549942219
5,1285326,0.073274936904048
6,1321792,0.075353821054172
7,1297093,0.073945759856785
8,1212304,0.069112037808715
9,1199776,0.068397831133106
10,1055824,0.060191295423713
11,911745,0.051977519592369
12,836025,0.047660810662203
13,753285,0.042943899715532
14,658133,0.037519395118026
15,543466,0.030982363119936
16,890383,0.050759696874907
