X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16
0,568930757	0,599210973	0,34880067	0,173900678	0,291512636	0,475374615	0,568476661	0,501679884	0,234842798	0,095008394	0,098602057	0,082956829	0,055881088	0,024208	0,008427101	0,01223605
0,38563164	0,849958932	0,556602767	0,220093257	0,081974982	0,293110576	0,545141886	0,577362044	0,425354684	0,158970187	0,075679819	0,077054002	0,047372654	0,025167545	0,011171396	0,010153541
0,239035108	0,592432508	1,322688449	0,473480513	0,104058012	0,087714596	0,223890019	0,453449125	0,501928225	0,245730503	0,095575111	0,038790149	0,024597052	0,024481239	0,017932896	0,009823627
0,128529848	0,225561917	0,52301984	1,039004283	0,265229368	0,094422915	0,058438914	0,234754882	0,379884928	0,388685089	0,210702015	0,067409003	0,030125926	0,018875983	0,009285709	0,007334629
0,246345261	0,131387107	0,146022915	0,470885242	0,91602823	0,328220499	0,081182936	0,040920917	0,144992556	0,336441401	0,228812552	0,116648783	0,029471721	0,008819529	0,007249637	0,007009578
0,54178834	0,234088808	0,088227763	0,150353179	0,345091645	0,7743958	0,239558639	0,054115407	0,029962781	0,097220719	0,196725022	0,125910608	0,060775043	0,018453986	0,003281572	0,008051167
0,635494591	0,74242409	0,409921273	0,08999532	0,125896571	0,313446307	0,683958306	0,251476657	0,095323964	0,036818478	0,064058574	0,091447306	0,082911628	0,019814421	0,010297535	0,005928808
0,549737021	0,860736311	0,755250064	0,322439358	0,063465219	0,076277307	0,200756713	0,643707759	0,17904733	0,05601639	0,037423756	0,037094495	0,060286477	0,037836159	0,016593675	0,005348043
0,308875875	0,578987977	0,699392431	0,499931073	0,151628294	0,058834037	0,108049227	0,184063056	0,445846122	0,139017772	0,049761932	0,0141476	0,035743595	0,036912252	0,014976198	0,009637467
0,178460641	0,355263619	0,496335251	0,599076092	0,339174148	0,121706727	0,04862544	0,105625775	0,147172243	0,395117974	0,130444014	0,035693	0,019464489	0,014485008	0,013229647	0,019273839
0,284617938	0,24805317	0,387041251	0,432812129	0,398168417	0,273621296	0,128907515	0,064237204	0,098702347	0,156145022	0,352744679	0,134189455	0,033475857	0,012353191	0,012820837	0,023124228
0,553862171	0,557959982	0,35526623	0,434167641	0,378614592	0,455992045	0,359613614	0,138257578	0,075294556	0,157066627	0,228055616	0,386777638	0,137692919	0,054507066	0,012057113	0,021277381
0,606455643	0,574079177	0,37118716	0,333965418	0,233665437	0,316650117	0,387876019	0,310852697	0,144593596	0,077260575	0,128505346	0,199093304	0,33565119	0,115801435	0,026585081	0,00665683
0,451682906	0,665722707	0,582244176	0,293808225	0,22144146	0,246856445	0,403136355	0,494422028	0,370982946	0,120157253	0,117334617	0,146804857	0,169363247	0,349761236	0,079086214	0,016338457
0,207226789	0,627158856	0,53915065	0,409066291	0,088271717	0,202593914	0,169517021	0,385993424	0,358083821	0,281004469	0,168234162	0,089497892	0,129089897	0,132875225	0,237788363	0,08299697
0,378106978	0,506483836	0,794831785	0,6411191	0,169367631	0,14485895	0,181708234	0,419250084	0,463213268	0,43013586	0,426031146	0,180207774	0,07642729	0,135435914	0,105055269	0,168460921
