X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16
1,264133878	0,557159403	0,282964274	0,209596619	0,336169407	0,492445829	0,604663333	0,473218503	0,274471954	0,181436019	0,222963803	0,204542215	0,144580543	0,133717452	0,080546846	0,038312864
0,606661399	2,326519165	0,846209418	0,235372951	0,189127331	0,360024985	0,467017417	0,473137403	0,3428264	0,153721712	0,125152252	0,142495928	0,14091705	0,113025354	0,05147682	0,038430267
0,193987408	1,050039918	3,686228571	0,577753833	0,362557404	0,294103694	0,360714216	0,393377466	0,389104861	0,230693741	0,154092948	0,10528847	0,078675693	0,087472314	0,059639561	0,051887122
0,106206372	0,34039544	1,571931141	4,727095132	1,085757198	0,487114223	0,327770852	0,357913117	0,313965442	0,260592586	0,119616771	0,065269177	0,050938461	0,049846353	0,02854911	0,01916435
0,143050148	0,185509124	0,274491407	1,772454475	2,719474008	1,031134202	0,649214494	0,393294654	0,261989375	0,285144716	0,176070114	0,128128233	0,054886745	0,045335574	0,047681485	0,037979804
0,237179647	0,125534106	0,112163159	0,439681614	1,165400277	1,426497226	0,86181466	0,526315142	0,3014393	0,254708153	0,218912292	0,128977976	0,054103769	0,043346814	0,02608703	0,013296215
0,254559573	0,184215553	0,277713684	0,221980492	0,557619788	0,786359387	1,047860925	0,682320327	0,36779178	0,262255717	0,270465821	0,21449394	0,104529421	0,082019813	0,039710273	0,037312101
0,210684929	0,252849155	0,189021745	0,140294154	0,31707975	0,53381997	0,709823873	0,788715214	0,47106566	0,282164338	0,195572375	0,170319611	0,155729047	0,117243094	0,066413467	0,026576275
0,123530821	0,163213579	0,253778716	0,163413678	0,27830741	0,320545894	0,470081319	0,463265433	0,430404031	0,244619742	0,170662658	0,088211784	0,088961828	0,068007421	0,04975225	0,02124219
0,034831564	0,058299203	0,075370968	0,144097998	0,187931319	0,223770356	0,29157193	0,297053364	0,244119263	0,233517941	0,184761103	0,09295079	0,070381097	0,050187083	0,043012285	0,033586419
0,056329914	0,107648104	0,121280914	0,180729916	0,313161252	0,381312888	0,296907125	0,262664744	0,254595104	0,265429478	0,212005299	0,184582897	0,119423933	0,071046513	0,045028917	0,030698548
0,084264438	0,07634755	0,081513498	0,096978692	0,230427056	0,372569439	0,410214132	0,310419713	0,259877832	0,170935757	0,255057024	0,26168635	0,180384064	0,109655773	0,058442276	0,032091221
0,060296395	0,067139184	0,057345051	0,091330427	0,18263782	0,269598802	0,295631722	0,323159934	0,238704508	0,180405194	0,165999302	0,2260783	0,209329806	0,166228328	0,11211114	0,047575952
0,062421748	0,084036237	0,05299627	0,055927636	0,154904761	0,232076644	0,312140461	0,255129299	0,208019174	0,154370539	0,173465421	0,206427936	0,208414565	0,197738995	0,100746272	0,06079016
0,022489396	0,04855184	0,069416479	0,129864871	0,114254623	0,159815651	0,174890262	0,222012598	0,222666237	0,156636294	0,130248172	0,142950404	0,250455893	0,24580761	0,217872559	0,080323214
0,035089772	0,036354789	0,053285841	0,02951063	0,061279144	0,078490303	0,158343353	0,115915057	0,094717418	0,109632164	0,081296512	0,086218149	0,086866791	0,126119961	0,105631975	0,072472857
