X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16
1,896183063	0,287541943	0,052965427	0,060994211	0,018983406	0,087888195	0,16643547	0,11525392	0,048049153	0,052957546	0,027788483	0,019421493	0,002692	0,000957044	8,2537E-66	6,3899E-120
0,359799377	2,844986718	0,162368536	0,019102146	0,021785174	0,064285489	0,08833031	0,078738452	0,067806699	0,04467474	0,037372488	0,012277009	0,005220085	0,001316893	0,000347179	8,08722E-39
0,003067061	0,630363873	3,753134308	0,123729187	0,014284596	0,051259226	0,054960745	0,08255133	0,076507433	0,055469569	0,038599218	0,020526024	0,005680681	0,000689641	4,93397E-25	0,000182108
0,019560169	0,028722858	1,239916864	4,525744357	0,06163533	0,061122447	0,07194364	0,09513292	0,070821062	0,07689928	0,041991117	0,026279219	0,006441435	0,001021344	6,20711E-33	1,70668E-70
0,025516091	0,017418908	0,007079194	0,630364421	0,35897803	0,044060022	0,030809388	0,036069244	0,021220815	0,024735979	0,013151158	0,00967949	0,000769169	0,001240722	0,000177136	1,21957E-47
0,028360773	0,08959186	0,028763308	0,156304814	0,244049175	0,155942209	0,028430762	0,035824302	0,039053332	0,032403392	0,008459192	0,014262006	0,004946507	0,002412188	0,000463095	0,001286086
0,058631418	0,315422616	0,213439355	0,143156081	0,046420251	0,088988508	0,084368648	0,055648572	0,055549526	0,027389044	0,022363254	0,003511336	0,006503437	0,000452389	1,65455E-48	3,11248E-55
0,092759241	0,175627937	0,131598314	0,07021674	0,01740755	0,054495928	0,079233294	0,05641895	0,057853261	0,026307599	0,003914477	0,009430794	0,000663282	0,002110261	1,8445E-123	9,69735E-67
0,026685666	0,08980808	0,072888312	0,307051304	0,007726094	0,025043764	0,0255973	0,033130555	0,066022057	0,022466489	0,025286063	0,007360882	0,006307662	0,000479435	4,81216E-68	2,40256E-92
0,208305868	0,187377965	0,124061736	0,461210536	0,00531339	0,029533969	0,059268193	0,049161764	0,042810344	0,024627403	0,030645676	0,01471894	0,003707992	0,001687933	6,2094E-134	3,27334E-72
0,050654392	0,306319886	0,391478372	0,434816007	0,005336376	0,01501356	0,043522987	0,041335427	0,04828413	0,063301698	0,032474727	0,01806778	0,005247296	8,99329E-24	1,2381E-117	5,64354E-78
0,161014539	0,302834869	0,267645039	0,314768464	0,006367205	0,059518288	0,02396357	0,038816907	0,046131287	0,032196204	0,028428431	0,032832517	0,010388868	1,15755E-31	0,000782122	0,000762625
0,076370029	0,065285797	0,033856684	0,164052634	0,013953362	0,001959071	0,018583197	0,050270224	0,010554425	0,016255853	0,012850862	0,006750733	0,023231945	0,011326955	4,42353E-67	2,12105E-37
0,002062878	0,025715775	0,010040075	7,20962E-32	0,001946752	0,001924712	0,012567812	0,005457521	0,005429601	0,008679398	0,001971981	0,015234039	0,008278143	0,017454223	0,011123972	3,457E-126
1,28362E-28	5,10663E-26	1,92883E-40	0,00759909	2,63545E-22	1,69741E-24	1,25886E-26	0,007621898	0,007849843	0,021152368	0,035216142	0,02144046	0,007740455	0,008013333	0,007912851	0,021382584
2,82123E-94	0,021123942	8,46348E-42	0,021254024	4,89799E-36	0,007592998	9,77431E-69	2,2315E-60	1,4373E-48	8,56112E-60	4,69545E-42	1,59855E-46	2,21016E-83	8,8587E-107	1,02043E-80	6,6141E-113
